id,P-006,P-015,P-027,P-031,P-032,P-043,P-045,P-050,P-055,P-065,P-070,P-074,Genus
ASV0364,8,2,4,0,1,0,0,4,3,0,4,6,Limosilactobacillus
ASV0365,0,0,0,0,0,0,0,0,0,0,0,0,Solobacterium
ASV0366,0,0,0,0,0,0,0,0,0,0,0,0,Prevotellaceae NK3B31 group
ASV0367,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0368,0,0,0,0,0,0,0,0,0,0,0,0,Ligilactobacillus
ASV0369,0,0,0,0,0,0,0,0,0,0,0,0,Megasphaera
ASV0370,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0371,0,0,0,0,0,0,0,0,0,0,0,0,Prevotellaceae NK3B31 group
ASV0372,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0373,0,0,0,0,0,0,0,0,0,0,0,0,Lactobacillus
ASV0374,0,0,0,0,0,0,0,0,0,0,0,0,Escherichia-Shigella
ASV0375,0,0,0,0,0,0,0,0,0,0,0,0,Parabacteroides
ASV0376,0,0,0,0,0,0,0,0,0,0,0,0,Blautia
ASV0377,0,0,0,0,0,0,0,0,0,0,0,0,Parabacteroides
ASV0378,0,0,0,0,0,0,0,0,0,0,0,0,Terrisporobacter
ASV0379,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0380,0,0,0,0,0,0,0,0,0,0,0,0,Clostridium sensu stricto 1
ASV0381,0,0,0,0,0,0,0,0,0,0,0,0,Stenotrophomonas
ASV0382,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0383,0,0,0,0,0,0,0,0,0,0,0,0,Streptococcus
ASV0384,0,0,0,0,0,0,0,0,0,0,0,0,Enterorhabdus
ASV0385,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0386,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0387,0,0,0,0,0,0,0,0,0,0,0,0,Dysgonomonas
ASV0388,0,0,0,0,0,0,0,0,0,0,0,0,Blautia
ASV0389,0,0,0,0,0,0,0,0,0,0,0,0,[Ruminococcus] torques group
ASV0390,0,0,0,0,0,0,0,0,0,0,0,0,Bifidobacterium
ASV0391,0,0,0,0,0,0,0,0,0,0,0,0,Faecalibacterium
ASV0392,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0393,0,0,0,0,0,0,0,0,0,0,0,0,Chryseobacterium
ASV0394,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0395,0,0,0,0,0,0,0,0,0,0,0,0,HT002
ASV0396,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0397,0,0,12,0,0,46,0,0,5,0,0,557,Pseudomonas
ASV0398,0,0,0,0,0,0,0,0,0,0,0,0,Leuconostoc
ASV0399,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0400,0,0,0,0,0,0,0,0,0,0,0,0,Marvinbryantia
ASV0401,0,0,0,0,0,0,0,0,0,0,0,0,Atopobium
ASV0402,0,0,0,0,0,0,0,0,0,0,0,0,Paenibacillus
ASV0403,0,0,0,0,0,0,0,0,0,0,0,0,Veillonella
ASV0404,0,0,0,0,0,0,0,0,0,0,0,0,Paeniclostridium
ASV0405,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella
ASV0406,0,0,0,0,0,0,0,0,0,0,0,0,Clostridium sensu stricto 1
ASV0407,0,0,0,0,0,0,0,0,0,0,0,0,Salmonella
ASV0408,0,0,0,0,0,0,0,0,0,0,0,0,Roseburia
ASV0409,0,0,0,0,0,0,0,0,0,0,0,0,Erysipelotrichaceae UCG-003
ASV0410,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0411,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0412,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0413,0,0,0,0,0,0,0,0,0,0,0,0,Mitsuokella
ASV0414,0,0,0,0,0,0,0,0,0,0,0,0,Collinsella
ASV0415,0,0,0,0,0,0,0,0,0,0,0,0,Peptococcus
ASV0416,0,0,0,0,0,0,0,0,0,0,0,0,[Eubacterium] hallii group
ASV0417,0,0,0,0,0,0,0,0,0,0,0,0,Megasphaera
ASV0418,0,0,0,0,0,0,0,0,0,0,0,0,Slackia
ASV0419,0,0,0,0,0,0,0,0,0,0,0,0,Ralstonia
ASV0420,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0421,0,0,0,0,0,0,0,0,0,0,0,0,Rothia
ASV0422,0,0,0,0,0,0,0,0,0,0,0,0,Terrisporobacter
ASV0423,0,0,0,0,0,0,0,0,0,0,0,0,Sarcina
ASV0424,0,0,0,0,0,0,0,0,0,0,0,0,Clostridioides
ASV0425,0,0,0,0,0,0,0,0,0,0,0,0,HT002
ASV0426,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0427,0,0,0,0,0,0,0,0,0,0,0,0,Faecalibacterium
ASV0428,0,0,0,0,0,0,0,0,0,0,0,0,Lachnospira
ASV0429,0,0,0,0,0,0,0,0,0,0,0,0,Clostridium sensu stricto 1
ASV0430,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0431,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0432,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0433,0,0,0,0,0,0,0,0,0,0,0,0,Family XIII UCG-001
ASV0434,0,0,0,0,0,0,0,0,0,0,0,0,UBA1819
ASV0435,0,0,0,0,0,0,0,0,0,0,0,0,Providencia
ASV0436,0,0,0,0,0,0,0,0,0,0,0,0,Lachnoclostridium
ASV0437,0,0,0,0,0,0,0,0,0,0,0,0,Enterococcus
ASV0438,0,0,0,0,0,0,0,0,0,0,0,0,Veillonella
ASV0439,0,0,0,0,0,0,0,0,0,0,0,0,Intestinimonas
ASV0440,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0441,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0442,0,0,0,0,0,0,0,0,0,0,0,0,Olsenella
ASV0443,0,0,0,0,0,0,0,0,0,0,0,0,UBA1819
ASV0444,0,0,0,0,0,0,0,0,0,0,0,0,Eubacterium
ASV0445,0,0,0,0,0,0,0,0,0,0,0,156,Clostridium sensu stricto 1
ASV0446,0,0,0,0,0,0,0,0,0,0,0,0,Anaerostipes
ASV0447,0,0,0,0,0,0,0,0,0,0,0,0,Enterococcus
ASV0448,0,0,0,0,0,0,0,0,0,0,0,0,Ruminococcus
ASV0449,0,0,0,0,0,0,0,0,0,0,0,0,[Eubacterium] eligens group
ASV0450,0,0,0,0,0,0,0,0,0,0,0,0,Ralstonia
ASV0451,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella_9
ASV0452,0,0,0,0,0,0,0,0,0,0,0,0,Blautia
ASV0453,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella
ASV0454,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0455,0,0,0,0,0,0,0,0,0,0,0,0,Ligilactobacillus
ASV0456,0,0,0,0,0,0,0,0,0,0,0,0,Faecalibacterium
ASV0457,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0458,0,0,0,0,0,0,0,0,0,0,0,0,Methanosphaera
ASV0459,0,0,0,0,0,0,0,0,0,0,0,0,[Eubacterium] hallii group
ASV0460,0,0,0,0,0,0,0,0,0,0,0,0,Clostridium sensu stricto 1
ASV0461,0,0,0,0,0,0,0,0,0,0,0,0,Enterococcus
ASV0462,0,1,0,0,0,0,0,0,0,0,0,0,Collinsella
ASV0463,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0464,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0465,0,0,0,0,0,0,0,0,0,0,0,0,Lactobacillus
ASV0466,0,0,0,0,0,0,0,0,0,0,0,0,Pseudoramibacter
ASV0467,0,0,0,0,0,0,0,0,0,0,0,0,Clostridioides
ASV0468,0,0,0,0,0,0,0,0,0,0,0,0,Coprococcus
ASV0469,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0470,0,0,0,0,0,0,0,0,0,0,0,0,Akkermansia
ASV0471,0,0,0,0,0,0,0,0,0,0,0,0,UCG-003
ASV0472,0,0,0,0,0,0,0,0,0,0,0,0,Peptoniphilus
ASV0473,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0474,0,0,0,0,0,0,0,0,0,0,0,0,Clostridioides
ASV0475,0,0,0,0,0,0,0,0,0,0,0,0,UCG-002
ASV0476,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0477,0,0,0,0,0,0,0,0,0,0,0,0,Blautia
ASV0478,0,0,0,0,0,0,0,0,0,0,0,0,Hungatella
ASV0479,0,0,0,0,0,0,0,0,0,0,0,0,Dorea
ASV0480,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella_9
ASV0481,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0482,0,0,0,0,0,0,0,0,0,0,0,0,Anaerostipes
ASV0483,0,0,0,0,0,0,0,0,0,0,0,0,Ruminococcus
ASV0484,0,0,0,0,0,0,0,0,0,0,0,0,Parabacteroides
ASV0485,0,0,0,0,0,0,0,0,0,0,0,0,Parabacteroides
ASV0486,0,0,0,0,0,0,0,0,0,0,0,0,[Eubacterium] ventriosum group
ASV0487,0,0,0,0,0,0,0,0,0,0,0,0,Parabacteroides
ASV0488,0,0,0,0,0,0,0,0,0,0,0,0,Rhodococcus
ASV0489,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0490,0,0,0,0,0,0,0,0,0,0,0,0,[Eubacterium] ventriosum group
ASV0491,0,0,0,0,0,0,0,0,0,0,0,0,Clostridium sensu stricto 1
ASV0492,0,0,0,0,0,0,0,0,0,0,0,0,Parabacteroides
ASV0493,0,0,0,0,0,0,0,0,0,0,0,0,Escherichia-Shigella
ASV0494,0,0,0,0,0,0,0,0,0,0,0,0,Rikenellaceae RC9 gut group
ASV0495,0,0,0,0,0,0,0,0,0,0,0,0,Blautia
ASV0496,0,0,0,0,0,0,0,0,0,0,0,0,Faecalibacterium
ASV0497,0,0,0,0,0,0,0,0,0,0,0,0,Fusobacterium
ASV0498,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0499,0,0,0,0,0,0,0,0,0,0,0,0,Haemophilus
ASV0500,0,0,0,0,0,0,0,0,0,0,0,0,Veillonella
ASV0501,0,0,0,0,0,0,0,0,0,0,0,0,Enterorhabdus
ASV0502,0,0,0,0,0,0,0,0,0,0,0,0,[Eubacterium] ruminantium group
ASV0503,0,0,0,0,0,0,0,0,0,0,0,0,Tissierella
ASV0504,0,0,0,0,0,0,0,0,0,0,0,0,Paenibacillus
ASV0505,0,0,0,0,0,0,0,0,0,0,0,0,Clostridium sensu stricto 1
ASV0506,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0507,0,0,0,0,0,0,0,0,0,0,0,0,Granulicatella
ASV0508,0,0,0,0,0,0,0,0,0,0,0,0,Mitsuokella
ASV0509,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0510,0,0,0,0,0,0,0,0,0,0,0,0,Lachnospiraceae FCS020 group
ASV0511,0,0,0,0,0,0,0,0,0,0,0,0,Phascolarctobacterium
ASV0512,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0513,0,0,0,0,0,0,0,0,0,0,0,0,Blautia
ASV0514,0,0,0,0,0,0,0,0,0,0,0,0,Clostridium sensu stricto 1
ASV0515,0,0,0,0,0,4,0,1,0,0,0,117,Ligilactobacillus
ASV0516,0,0,0,0,0,0,0,0,0,0,0,0,Gemella
ASV0517,0,0,0,0,0,0,0,0,0,0,0,0,Actinobacillus
ASV0518,0,0,0,0,0,0,0,0,0,0,0,0,Veillonella
ASV0519,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0520,0,0,0,0,0,0,0,0,0,0,0,0,Roseburia
ASV0521,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella_9
ASV0522,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0523,0,0,0,0,0,0,0,0,0,0,0,0,Agathobacter
ASV0524,0,0,0,0,0,0,0,0,0,0,0,0,Lachnospiraceae FCS020 group
ASV0525,0,0,0,0,0,0,0,0,0,0,0,0,Aeromonas
ASV0526,0,0,0,0,0,0,0,0,0,0,0,0,Lactococcus
ASV0527,0,0,0,0,0,0,0,0,0,0,0,0,Paenibacillus
ASV0528,0,0,0,0,0,0,0,0,0,0,0,0,Parabacteroides
ASV0529,0,0,0,0,0,0,0,0,0,0,0,0,Escherichia-Shigella
ASV0530,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0531,0,0,0,0,0,0,0,0,0,0,0,0,Lachnospiraceae UCG-004
ASV0532,0,0,0,0,0,0,0,0,0,0,0,0,Dorea
ASV0533,0,0,0,0,0,0,0,0,0,0,0,0,Holdemanella
ASV0534,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0535,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0536,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0537,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0538,0,0,0,0,0,0,0,0,0,0,0,0,Paenibacillus
ASV0539,0,0,0,0,0,0,0,0,0,0,0,0,Atopobium
ASV0540,0,0,0,0,0,0,0,0,0,0,0,0,Pseudocitrobacter
ASV0541,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0542,0,0,0,0,0,0,0,0,0,0,0,0,Butyricicoccus
ASV0543,0,0,0,0,0,0,0,0,0,0,0,0,Clostridium sensu stricto 1
ASV0544,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0545,0,0,0,0,0,0,0,0,0,0,0,0,Parabacteroides
ASV0546,0,0,0,0,0,0,0,0,0,0,0,0,Veillonella
ASV0547,0,0,0,0,0,0,0,0,0,0,0,86,Enterococcus
ASV0548,0,0,0,0,0,0,0,0,0,0,0,0,Veillonella
ASV0549,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0550,0,0,0,0,0,0,0,0,0,0,0,0,[Clostridium] innocuum group
ASV0551,0,0,0,0,0,0,0,0,0,0,0,0,Subdoligranulum
ASV0552,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0553,0,0,0,0,0,0,0,0,0,0,0,0,Clostridium sensu stricto 16
ASV0554,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella
ASV0555,0,0,0,0,0,0,0,0,0,0,0,0,Escherichia-Shigella
ASV0556,0,0,0,0,0,0,0,0,0,0,0,0,Tyzzerella
ASV0557,0,0,0,0,0,0,0,0,0,0,0,0,Family XIII AD3011 group
ASV0558,0,0,0,0,0,0,0,0,0,0,0,0,Paenibacillus
ASV0559,0,0,0,0,0,0,0,0,0,0,0,0,Lachnospiraceae ND3007 group
ASV0560,0,0,0,0,0,0,0,0,0,0,0,0,Veillonella
ASV0561,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0562,0,0,0,0,0,0,0,0,0,0,0,0,Desulfovibrio
ASV0563,0,0,0,0,0,0,0,0,0,0,0,0,HT002
ASV0564,0,0,0,0,0,0,0,0,0,0,0,0,Campylobacter
ASV0565,0,0,0,0,0,0,0,0,0,0,0,0,Mitsuokella
ASV0566,0,0,0,0,0,0,0,0,0,0,0,0,Christensenellaceae R-7 group
ASV0567,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0568,0,0,0,0,0,0,0,0,0,0,0,0,Hathewaya
ASV0569,0,0,0,0,0,0,0,0,0,0,0,0,Libanicoccus
ASV0570,0,0,0,0,0,0,0,0,0,0,0,0,Veillonella
ASV0571,0,0,0,0,0,0,0,0,0,0,0,0,Desulfovibrio
ASV0572,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella
ASV0573,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0574,0,0,0,0,0,0,0,0,0,0,0,0,Campylobacter
ASV0575,0,0,0,0,0,0,0,0,0,0,0,0,Senegalimassilia
ASV0576,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella_9
ASV0577,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0578,0,0,0,0,0,0,0,0,0,0,0,0,Fructobacillus
ASV0579,0,0,0,0,0,0,0,0,0,0,0,0,Candidatus Methanomethylophilus
ASV0580,0,0,0,0,0,0,0,0,0,0,0,0,Subdoligranulum
ASV0581,0,0,0,0,0,0,0,0,0,0,0,0,Parabacteroides
ASV0582,0,0,0,0,0,0,0,0,0,0,0,0,NK4A214 group
ASV0583,0,0,0,0,0,0,0,0,0,0,0,0,Brucella
ASV0584,0,0,0,0,0,0,0,0,0,0,0,0,Veillonella
ASV0585,0,0,0,0,0,0,0,0,0,0,0,0,[Clostridium] innocuum group
ASV0586,0,0,0,0,0,0,0,0,0,0,0,0,Catenibacterium
ASV0587,0,0,0,0,0,0,0,0,0,0,0,0,Parabacteroides
ASV0588,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella_9
ASV0589,0,0,0,0,0,0,0,0,0,0,0,0,Neisseria
ASV0590,0,0,0,0,0,0,0,0,0,0,0,0,Senegalimassilia
ASV0591,0,0,0,0,0,0,0,0,0,0,0,0,[Ruminococcus] gauvreauii group
ASV0592,0,0,0,0,0,0,0,0,0,0,0,0,Acinetobacter
ASV0593,0,0,0,0,0,0,0,0,0,0,0,0,Megasphaera
ASV0594,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella
ASV0595,0,0,0,0,0,0,0,0,0,0,0,0,Blautia
ASV0596,0,0,0,0,0,0,0,0,0,0,0,0,Dorea
ASV0597,0,0,0,0,0,0,0,0,0,0,0,0,Turicibacter
ASV0598,0,0,0,0,0,0,0,0,0,0,0,0,[Ruminococcus] torques group
ASV0599,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0600,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0601,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0602,0,0,0,0,0,0,0,0,0,0,0,0,Libanicoccus
ASV0603,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0604,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0605,0,0,0,0,0,0,0,0,0,0,0,0,UCG-002
ASV0606,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0607,0,0,0,0,0,0,0,0,0,0,0,0,CAG-56
ASV0608,0,0,0,0,0,0,0,0,0,0,0,0,Enterococcus
ASV0609,0,0,0,0,0,0,0,0,0,0,0,0,Oscillibacter
ASV0610,0,0,0,0,0,0,0,0,0,0,0,0,[Ruminococcus] torques group
ASV0611,0,0,0,0,0,0,0,0,0,0,0,0,Escherichia-Shigella
ASV0612,0,0,0,0,0,0,0,0,0,0,0,0,Stenotrophomonas
ASV0613,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella_9
ASV0614,0,0,0,0,0,0,0,0,0,0,0,0,Phascolarctobacterium
ASV0615,0,0,0,0,0,0,0,0,0,0,0,0,Levilactobacillus
ASV0616,0,0,0,0,0,0,0,0,0,0,0,0,Gordonibacter
ASV0617,0,0,0,0,0,0,0,0,0,0,0,0,Corynebacterium
ASV0618,0,0,0,0,0,0,0,0,0,0,0,0,Dorea
ASV0619,0,0,0,0,0,0,0,0,0,0,0,0,Tyzzerella
ASV0620,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0621,0,0,0,0,0,0,0,0,0,0,0,0,Streptococcus
ASV0622,0,0,0,0,0,0,0,0,0,0,0,0,Chungangia
ASV0623,0,0,0,0,0,0,0,0,0,0,0,0,Burkholderia-Caballeronia-Paraburkholderia
ASV0624,0,0,0,0,0,0,0,0,0,0,0,0,Fusobacterium
ASV0625,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0626,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0627,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0628,0,0,0,0,0,0,0,0,0,0,0,0,Eisenbergiella
ASV0629,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0630,0,0,0,0,0,0,0,0,0,0,0,0,Veillonella
ASV0631,0,0,0,0,0,0,0,0,0,0,0,0,Megasphaera
ASV0632,0,0,0,0,0,0,0,0,0,0,0,0,Raoultibacter
ASV0633,0,0,0,0,0,0,0,0,0,0,0,0,Monoglobus
ASV0634,0,0,0,0,0,0,0,0,0,0,0,0,Corynebacterium
ASV0635,0,0,0,0,0,0,0,0,0,0,0,0,UCG-002
ASV0636,0,0,0,0,0,0,0,0,0,0,0,0,Eggerthella
ASV0637,0,0,0,0,0,0,0,0,0,0,0,0,Lachnospiraceae UCG-004
ASV0638,0,0,0,0,0,0,0,0,0,0,0,0,UCG-005
ASV0639,0,0,0,0,0,0,0,0,0,0,0,0,Escherichia-Shigella
ASV0640,0,0,0,0,0,0,0,0,0,0,0,0,Streptococcus
ASV0641,0,0,0,0,0,0,0,0,0,0,0,0,Family XIII AD3011 group
ASV0642,0,0,0,0,0,0,0,0,0,0,0,0,Christensenellaceae R-7 group
ASV0643,0,0,0,0,0,0,0,0,0,0,0,0,Eggerthella
ASV0644,0,0,0,0,0,0,0,0,0,0,0,0,Anaeroglobus
ASV0645,0,0,0,0,0,0,0,0,0,0,0,0,Sutterella
ASV0646,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0647,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0648,0,0,0,0,0,0,0,0,0,0,0,0,Peptostreptococcus
ASV0649,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0650,0,0,0,0,0,0,0,0,0,0,0,0,Christensenellaceae R-7 group
ASV0651,0,0,0,0,0,0,0,0,0,0,0,0,Paenibacillus
ASV0652,0,0,0,0,0,0,0,0,0,0,0,0,Corynebacterium
ASV0653,0,0,0,0,0,0,0,0,0,0,0,0,Erysipelotrichaceae UCG-006
ASV0654,0,0,0,0,0,0,0,0,0,0,0,0,Actinomyces
ASV0655,0,0,0,0,0,1,0,0,0,0,0,7,Pseudomonas
ASV0656,0,0,0,0,0,0,0,0,0,0,0,0,Anaerostipes
ASV0657,0,0,0,0,0,0,0,0,0,0,0,0,Bifidobacterium
ASV0658,0,0,0,0,0,0,0,0,0,0,0,0,Faecalibacterium
ASV0659,0,0,0,0,0,0,0,0,0,0,0,0,Corynebacterium
ASV0660,0,0,0,0,0,0,0,0,0,0,0,0,Lachnospiraceae NK4A136 group
ASV0661,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0662,0,0,0,0,0,0,0,0,0,0,0,0,Acinetobacter
ASV0663,0,0,0,0,0,0,0,0,0,0,0,0,Actinomyces
ASV0664,0,0,0,0,0,0,0,0,0,0,0,0,UCG-005
ASV0665,0,0,0,0,0,0,0,0,0,0,0,0,Bacillus
ASV0666,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella
ASV0667,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0668,0,0,0,0,0,0,0,0,0,0,0,0,Veillonella
ASV0669,0,0,0,0,0,0,0,0,0,0,0,0,Haemophilus
ASV0670,0,0,0,0,0,0,0,0,0,0,0,0,Roseburia
ASV0671,0,0,0,0,0,0,0,0,0,0,0,0,Bifidobacterium
ASV0672,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0673,0,0,0,0,0,0,0,0,0,0,0,0,Pseudomonas
ASV0674,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0675,0,0,0,0,0,0,0,0,0,0,0,0,Lachnoclostridium
ASV0676,0,0,0,0,0,0,0,0,0,0,0,0,Megamonas
ASV0677,0,0,0,0,0,0,0,0,0,0,0,0,Helicobacter
ASV0678,0,0,0,0,0,0,0,0,0,0,0,0,Blautia
ASV0679,0,0,0,0,0,0,0,0,0,0,0,0,Dorea
ASV0680,0,0,0,0,0,0,0,0,0,0,0,0,Blautia
ASV0681,0,0,0,0,0,0,0,0,0,0,0,0,Hathewaya
ASV0682,0,0,0,0,0,0,0,0,0,0,0,0,Streptococcus
ASV0683,0,0,0,0,0,0,0,0,0,0,0,0,Parabacteroides
ASV0684,0,0,0,0,0,0,0,0,0,0,0,0,Peptoniphilus
ASV0685,0,0,0,0,0,0,0,0,0,0,0,0,Lachnospiraceae UCG-010
ASV0686,0,0,0,0,0,0,0,0,0,0,0,0,Streptococcus
ASV0687,0,0,0,0,0,0,0,0,0,0,0,0,Lachnoclostridium
ASV0688,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0689,0,0,0,0,0,0,0,0,0,0,0,0,Acinetobacter
ASV0690,0,0,0,0,0,0,0,0,0,0,0,0,Tuzzerella
ASV0691,0,0,0,0,0,0,0,0,0,0,0,0,NK4A214 group
ASV0692,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0693,0,0,0,0,0,0,0,0,0,0,0,0,Granulicatella
ASV0694,0,0,0,0,0,0,0,0,0,0,0,0,Fenollaria
ASV0695,0,0,0,0,0,0,0,0,0,0,0,0,Butyricicoccus
ASV0696,0,0,0,0,0,0,0,0,0,0,0,0,Xanthobacter
ASV0697,0,0,0,0,0,0,0,0,0,0,0,0,Anaerobacillus
ASV0698,0,0,0,0,0,0,0,0,0,0,0,0,UCG-005
ASV0699,0,0,0,0,0,0,0,0,0,0,0,0,Acinetobacter
ASV0700,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0701,0,0,0,0,0,0,0,0,0,0,0,0,Catenibacterium
ASV0702,0,0,0,0,0,0,0,0,0,0,0,0,Roseburia
ASV0703,0,0,0,0,0,0,0,0,0,0,0,0,[Eubacterium] xylanophilum group
ASV0704,0,0,0,0,0,0,0,0,0,0,0,0,Anaerobacillus
ASV0705,0,0,0,0,0,0,0,0,0,0,0,0,Lachnospira
ASV0706,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0707,0,0,0,0,0,0,0,0,0,0,0,0,Monoglobus
ASV0708,0,0,0,0,0,0,0,0,0,0,0,0,NK4A214 group
ASV0709,0,0,0,0,0,0,0,0,0,0,0,0,Dolosigranulum
ASV0710,0,0,0,0,0,0,0,0,0,0,0,0,Christensenellaceae R-7 group
ASV0711,0,0,0,0,0,0,0,0,0,0,0,0,Roseburia
ASV0712,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0713,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0714,0,0,0,0,0,0,0,0,0,0,0,0,Bifidobacterium
ASV0715,0,0,0,0,0,0,0,0,0,0,0,0,Hymenobacter
ASV0716,0,0,0,0,0,0,0,0,0,0,0,0,Incertae Sedis
ASV0717,0,0,0,0,0,0,0,0,0,0,0,0,Christensenellaceae R-7 group
ASV0718,0,0,0,0,0,0,0,0,0,0,0,0,[Eubacterium] hallii group
ASV0719,0,0,0,0,0,0,0,0,0,0,0,0,Christensenellaceae R-7 group
ASV0720,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0721,0,0,0,0,0,0,0,0,0,0,0,0,Lachnospira
ASV0722,0,0,0,0,0,0,0,0,0,0,0,0,Burkholderia-Caballeronia-Paraburkholderia
ASV0723,0,0,0,0,0,0,0,0,0,0,0,0,Faecalibacterium
ASV0724,0,0,0,0,0,0,0,0,0,0,0,0,Anaerococcus
ASV0725,0,0,0,0,0,0,0,0,0,0,0,0,Blautia
ASV0726,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0727,0,0,0,0,0,0,0,0,0,0,0,0,Streptococcus
ASV0728,0,0,0,0,0,0,0,0,0,0,0,0,NK4A214 group
ASV0729,0,0,0,0,0,0,0,0,0,0,0,0,Oscillospira
ASV0730,0,0,0,0,0,0,0,0,0,0,0,0,Family XIII AD3011 group
ASV0731,0,0,0,0,0,0,0,0,0,0,0,0,Bifidobacterium
